file,name,gradient,background_start,background_end,wordmark_start,wordmark_end
10-aurora,Aurora,DIAGONAL / CYAN TO VIOLET,#050C1C,#29205C,#69FFF0,#B8A3FF
11-electric-blue,Electric Blue,HORIZONTAL / ICE TO BLUE,#030917,#092F75,#E8FAFF,#3AA8FF
12-titanium,Titanium,VERTICAL / SILVER,#11151C,#323D4C,#FFFFFF,#8D9BAB
13-plasma,Plasma,DIAGONAL / PINK TO CYAN,#190929,#42186D,#FF93EF,#70E5FF
14-glacier,Glacier,DIAGONAL / LIGHT EDITION,#F1FAFF,#BFDDEB,#123762,#426CA6
15-ion-green,Ion Green,HORIZONTAL / LIME TO MINT,#06150F,#123E32,#D9FF75,#56EDD5
16-solar-flare,Solar Flare,DIAGONAL / AMBER TO CORAL,#1B1017,#4B172F,#FFE9A3,#FF8580
17-ultraviolet,Ultraviolet,VERTICAL / LILAC TO ICE,#160935,#5029A5,#F6E8FF,#B0C8FF
18-polar-night,Polar Night,RADIAL / FROSTED CYAN,#07111C,#123A49,#FAFFFF,#6EDBDD
19-deep-orbit,Deep Orbit,DIAGONAL / BLUE TO LILAC,#080D25,#242550,#7BAFFF,#E9C8FF
20-opal,Opal,RADIAL / LIGHT EDITION,#F9F6FC,#D1DEFA,#344A7F,#8168AE
21-cyber-gold,Cyber Gold,HORIZONTAL / CHAMPAGNE,#10151B,#303D47,#FFF4D6,#C9A55D
